verb,actor,reciever,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,date,frameRate,expName,session,participant,
headbutt,bandit,chef,0,0,0,0,None,2015_Oct_12_2333,60.0002288827,try,001,,
knockover,bandit,hunter,0,1,1,1,None,2015_Oct_12_2333,60.0002288827,try,001,,
rock,bandit,ref,0,2,2,2,None,2015_Oct_12_2333,60.0002288827,try,001,,
headbutt,bandit,chef,1,0,3,0,None,2015_Oct_12_2333,60.0002288827,try,001,,
knockover,bandit,hunter,1,1,4,1,None,2015_Oct_12_2333,60.0002288827,try,001,,
rock,bandit,ref,1,2,5,2,None,2015_Oct_12_2333,60.0002288827,try,001,,
headbutt,bandit,chef,2,0,6,0,None,2015_Oct_12_2333,60.0002288827,try,001,,
knockover,bandit,hunter,2,1,7,1,None,2015_Oct_12_2333,60.0002288827,try,001,,
rock,bandit,ref,2,2,8,2,None,2015_Oct_12_2333,60.0002288827,try,001,,
headbutt,bandit,chef,3,0,9,0,None,2015_Oct_12_2333,60.0002288827,try,001,,
knockover,bandit,hunter,3,1,10,1,None,2015_Oct_12_2333,60.0002288827,try,001,,
rock,bandit,ref,3,2,11,2,None,2015_Oct_12_2333,60.0002288827,try,001,,
headbutt,bandit,chef,4,0,12,0,None,2015_Oct_12_2333,60.0002288827,try,001,,
knockover,bandit,hunter,4,1,13,1,None,2015_Oct_12_2333,60.0002288827,try,001,,
rock,bandit,ref,4,2,14,2,None,2015_Oct_12_2333,60.0002288827,try,001,,
