1.5202 	WARNING 	User requested fullscreen with size [2560 1700], but screen is actually [2560, 1440]. Using actual size
2.4785 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
2.4788 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
2.5408 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'correct': 1, 'soundactor': u'barsu', 'actortwo': u'bandit'}
2.5846 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
2.5847 	EXP 	Sound  started
3.1098 	EXP 	TextStim: autoLog = None
3.1098 	EXP 	TextStim: units = None
3.1098 	EXP 	TextStim: useShaders = None
3.1098 	EXP 	TextStim: depth = None
3.1098 	EXP 	TextStim: ori = None
3.1098 	EXP 	TextStim: pos = None
3.1098 	EXP 	TextStim: colorSpace = None
3.1098 	EXP 	TextStim: opacity = None
3.1098 	EXP 	TextStim: contrast = None
3.1098 	EXP 	ImageStim: autoLog = None
3.1098 	EXP 	ImageStim: units = None
3.1098 	EXP 	ImageStim: useShaders = None
3.1098 	EXP 	ImageStim: size = None
3.1098 	EXP 	ImageStim: pos = None
3.1098 	EXP 	ImageStim: ori = None
3.1098 	EXP 	ImageStim: depth = None
3.1098 	EXP 	ImageStim: contrast = None
3.1098 	EXP 	ImageStim: opacity = None
3.1098 	EXP 	ImageStim: autoLog = None
3.1098 	EXP 	ImageStim: units = None
3.1098 	EXP 	ImageStim: useShaders = None
3.1098 	EXP 	ImageStim: size = None
3.1098 	EXP 	ImageStim: pos = None
3.1098 	EXP 	ImageStim: ori = None
3.1098 	EXP 	ImageStim: depth = None
3.1098 	EXP 	ImageStim: contrast = None
3.1098 	EXP 	ImageStim: opacity = None
3.1098 	EXP 	Set text text=My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue
3.1098 	EXP 	TextStim: autoDraw = None
3.1098 	EXP 	ImageStim: autoDraw = None
3.1098 	EXP 	TextStim: autoDraw = None
3.1098 	EXP 	ImageStim: autoDraw = None
