2.7470 	EXP 	Imported test.csv as conditions, 3 conditions, 11 params
2.7473 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
2.8092 	EXP 	New trial (rep=0, index=0): {'receivertwo': u'hunter', 'soundverb': u'forp', 'verbtwo': u'rock', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue', 'actor': u'bandit', 'verb': u'headbutt', 'receiver': u'chef', 'soundreceiver': u'doakla', 'type': u'vide', 'soundactor': u'barsu', 'actortwo': u'bandit'}
2.8414 	EXP 	TextStim: autoLog = None
2.8414 	EXP 	TextStim: units = None
2.8414 	EXP 	TextStim: useShaders = None
2.8414 	EXP 	TextStim: depth = None
2.8414 	EXP 	TextStim: ori = None
2.8414 	EXP 	TextStim: pos = None
2.8414 	EXP 	TextStim: colorSpace = None
2.8414 	EXP 	TextStim: opacity = None
2.8414 	EXP 	TextStim: contrast = None
2.8414 	EXP 	ImageStim: autoLog = None
2.8414 	EXP 	ImageStim: units = None
2.8414 	EXP 	ImageStim: useShaders = None
2.8414 	EXP 	ImageStim: size = None
2.8414 	EXP 	ImageStim: pos = None
2.8414 	EXP 	ImageStim: ori = None
2.8414 	EXP 	ImageStim: depth = None
2.8414 	EXP 	ImageStim: contrast = None
2.8414 	EXP 	ImageStim: opacity = None
2.8414 	EXP 	ImageStim: autoLog = None
2.8414 	EXP 	ImageStim: units = None
2.8414 	EXP 	ImageStim: useShaders = None
2.8414 	EXP 	ImageStim: size = None
2.8414 	EXP 	ImageStim: pos = None
2.8414 	EXP 	ImageStim: ori = None
2.8414 	EXP 	ImageStim: depth = None
2.8414 	EXP 	ImageStim: contrast = None
2.8414 	EXP 	ImageStim: opacity = None
2.8414 	EXP 	Set text text=My name is alien the alien and I will be showing you some experiments today. Press anywhere to continue
2.8414 	EXP 	TextStim: autoDraw = None
2.8414 	EXP 	ImageStim: autoDraw = None
4.1769 	DATA 	Mouse: Left button down, pos=(244,371)
4.1923 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.1923 	EXP 	Sound  started
4.5644 	DATA 	Mouse: Left button up, pos=(244,366)
4.7138 	EXP 	TextStim: autoDraw = None
4.7138 	EXP 	ImageStim: autoDraw = None
4.7138 	EXP 	MovieStim: autoLog = None
4.7138 	EXP 	MovieStim: units = None
4.7138 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
4.7138 	EXP 	MovieStim: pos = None
4.7138 	EXP 	MovieStim: depth = None
4.7138 	EXP 	MovieStim: colorSpace = None
4.7138 	EXP 	MovieStim: opacity = None
4.7138 	EXP 	MovieStim: size = None
4.7138 	EXP 	MovieStim: ori = None
4.7138 	EXP 	MovieStim: autoLog = None
4.7138 	EXP 	MovieStim: units = None
4.7138 	EXP 	Set movie movie=videos/bandit_hunter_rock.avi
4.7138 	EXP 	MovieStim: pos = None
4.7138 	EXP 	MovieStim: depth = None
4.7138 	EXP 	MovieStim: colorSpace = None
4.7138 	EXP 	MovieStim: opacity = None
4.7138 	EXP 	MovieStim: size = None
4.7138 	EXP 	MovieStim: ori = None
4.7138 	EXP 	MovieStim: autoDraw = None
4.7138 	EXP 	MovieStim: autoDraw = None
4.7144 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7144 	EXP 	Sound  started
4.7268 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7268 	EXP 	Sound  started
4.7422 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7422 	EXP 	Sound  started
4.7599 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7599 	EXP 	Sound  started
4.7761 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7761 	EXP 	Sound  started
4.7928 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.7928 	EXP 	Sound  started
4.8093 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8094 	EXP 	Sound  started
4.8266 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8266 	EXP 	Sound  started
4.8429 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8429 	EXP 	Sound  started
4.8595 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8595 	EXP 	Sound  started
4.8761 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8761 	EXP 	Sound  started
4.8935 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.8935 	EXP 	Sound  started
4.9094 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9094 	EXP 	Sound  started
4.9266 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9267 	EXP 	Sound  started
4.9478 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9478 	EXP 	Sound  started
4.9600 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9600 	EXP 	Sound  started
4.9764 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9764 	EXP 	Sound  started
4.9935 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
4.9936 	EXP 	Sound  started
5.0099 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0100 	EXP 	Sound  started
5.0273 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0273 	EXP 	Sound  started
5.0425 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0425 	EXP 	Sound  started
5.0600 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0600 	EXP 	Sound  started
5.0771 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0772 	EXP 	Sound  started
5.0937 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.0938 	EXP 	Sound  started
5.1097 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1097 	EXP 	Sound  started
5.1271 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1272 	EXP 	Sound  started
5.1436 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1436 	EXP 	Sound  started
5.1604 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1604 	EXP 	Sound  started
5.1768 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1768 	EXP 	Sound  started
5.1931 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.1931 	EXP 	Sound  started
5.2097 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2097 	EXP 	Sound  started
5.2273 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2273 	EXP 	Sound  started
5.2431 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2431 	EXP 	Sound  started
5.2604 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2604 	EXP 	Sound  started
5.2775 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2775 	EXP 	Sound  started
5.2931 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.2931 	EXP 	Sound  started
5.3103 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3103 	EXP 	Sound  started
5.3266 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3266 	EXP 	Sound  started
5.3440 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3441 	EXP 	Sound  started
5.3607 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3608 	EXP 	Sound  started
5.3772 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3772 	EXP 	Sound  started
5.3943 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.3943 	EXP 	Sound  started
5.4097 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4097 	EXP 	Sound  started
5.4271 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4272 	EXP 	Sound  started
5.4438 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4438 	EXP 	Sound  started
5.4601 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4601 	EXP 	Sound  started
5.4774 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4774 	EXP 	Sound  started
5.4931 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.4931 	EXP 	Sound  started
5.5104 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.5104 	EXP 	Sound  started
5.5273 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.5273 	EXP 	Sound  started
5.5438 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.5438 	EXP 	Sound  started
5.5609 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.5609 	EXP 	Sound  started
5.5771 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.5771 	EXP 	Sound  started
5.5940 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.5940 	EXP 	Sound  started
5.6099 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.6099 	EXP 	Sound  started
5.6267 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.6267 	EXP 	Sound  started
5.6437 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.6437 	EXP 	Sound  started
5.6607 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.6607 	EXP 	Sound  started
5.6766 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.6767 	EXP 	Sound  started
5.6935 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.6936 	EXP 	Sound  started
5.7108 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.7108 	EXP 	Sound  started
5.7273 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.7273 	EXP 	Sound  started
5.7434 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.7434 	EXP 	Sound  started
5.7609 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.7610 	EXP 	Sound  started
5.7775 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.7776 	EXP 	Sound  started
5.7934 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.7934 	EXP 	Sound  started
5.8102 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.8102 	EXP 	Sound  started
5.8274 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.8274 	EXP 	Sound  started
5.8439 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.8440 	EXP 	Sound  started
5.8609 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.8609 	EXP 	Sound  started
5.8772 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.8772 	EXP 	Sound  started
5.8934 	EXP 	Set movie finished
5.8939 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.8939 	EXP 	Sound  started
5.9100 	EXP 	Set movie paused
5.9105 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.9105 	EXP 	Sound  started
5.9277 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.9278 	EXP 	Sound  started
5.9447 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.9447 	EXP 	Sound  started
5.9613 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.9613 	EXP 	Sound  started
5.9777 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.9777 	EXP 	Sound  started
5.9938 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
5.9938 	EXP 	Sound  started
6.0110 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.0110 	EXP 	Sound  started
6.0279 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.0279 	EXP 	Sound  started
6.0441 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.0441 	EXP 	Sound  started
6.0612 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.0612 	EXP 	Sound  started
6.0775 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.0775 	EXP 	Sound  started
6.0940 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.0940 	EXP 	Sound  started
6.1114 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.1114 	EXP 	Sound  started
6.1278 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.1278 	EXP 	Sound  started
6.1442 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.1443 	EXP 	Sound  started
6.1606 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.1606 	EXP 	Sound  started
6.1777 	EXP 	Set movie finished
6.1779 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.1779 	EXP 	Sound  started
6.1948 	EXP 	Set movie paused
6.1951 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.1951 	EXP 	Sound  started
6.2110 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.2110 	EXP 	Sound  started
6.2272 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.2272 	EXP 	Sound  started
6.2434 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.2434 	EXP 	Sound  started
6.2606 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.2606 	EXP 	Sound  started
6.2779 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.2779 	EXP 	Sound  started
6.2941 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.2941 	EXP 	Sound  started
6.3114 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.3114 	EXP 	Sound  started
6.3287 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.3287 	EXP 	Sound  started
6.3440 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.3440 	EXP 	Sound  started
6.3615 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.3615 	EXP 	Sound  started
6.3784 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.3784 	EXP 	Sound  started
6.3948 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.3948 	EXP 	Sound  started
6.4112 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4112 	EXP 	Sound  started
6.4275 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4276 	EXP 	Sound  started
6.4448 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4448 	EXP 	Sound  started
6.4613 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4614 	EXP 	Sound  started
6.4776 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4776 	EXP 	Sound  started
6.4942 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
6.4942 	EXP 	Sound  started
6.5117 	DATA 	Mouse: Left button down, pos=(224,344)
6.8602 	DATA 	Mouse: Left button up, pos=(224,344)
8.0192 	EXP 	Set  sound=C
8.0238 	EXP 	Set  sound=button.wav
8.0243 	EXP 	Set  sound=bad.wav
8.0244 	EXP 	Set  sound=soundfiles/barsu_doakla_forp.wav
8.0244 	EXP 	Sound  started
8.0253 	EXP 	New trial (rep=0, index=1): {'receivertwo': u'chef', 'soundverb': u'moship', 'verbtwo': u'knockover', 'welcometext': u'My name is alien the alien and I will be showing you some experiments today', 'actor': u'bandit', 'verb': u'knockover', 'receiver': u'hunter', 'soundreceiver': u'doakla', 'type': u'video', 'soundactor': u'barsu', 'actortwo': u'bandit'}
8.0308 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.0308 	EXP 	Sound  started
8.5631 	EXP 	MovieStim: autoDraw = None
8.5631 	EXP 	MovieStim: autoDraw = None
8.5631 	EXP 	MovieStim: autoLog = None
8.5631 	EXP 	MovieStim: units = None
8.5631 	EXP 	Set movie movie=videos/bandit_hunter_knockover.avi
8.5631 	EXP 	MovieStim: pos = None
8.5631 	EXP 	MovieStim: depth = None
8.5631 	EXP 	MovieStim: colorSpace = None
8.5631 	EXP 	MovieStim: opacity = None
8.5631 	EXP 	MovieStim: size = None
8.5631 	EXP 	MovieStim: ori = None
8.5631 	EXP 	MovieStim: autoLog = None
8.5631 	EXP 	MovieStim: units = None
8.5631 	EXP 	Set movie movie=videos/bandit_chef_knockover.avi
8.5631 	EXP 	MovieStim: pos = None
8.5631 	EXP 	MovieStim: depth = None
8.5631 	EXP 	MovieStim: colorSpace = None
8.5631 	EXP 	MovieStim: opacity = None
8.5631 	EXP 	MovieStim: size = None
8.5631 	EXP 	MovieStim: ori = None
8.5631 	EXP 	MovieStim: autoDraw = None
8.5631 	EXP 	MovieStim: autoDraw = None
8.5634 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.5634 	EXP 	Sound  started
8.5790 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.5790 	EXP 	Sound  started
8.5955 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.5955 	EXP 	Sound  started
8.6132 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.6132 	EXP 	Sound  started
8.6299 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.6299 	EXP 	Sound  started
8.6462 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.6463 	EXP 	Sound  started
8.6630 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.6630 	EXP 	Sound  started
8.6794 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.6794 	EXP 	Sound  started
8.6965 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.6965 	EXP 	Sound  started
8.7127 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.7127 	EXP 	Sound  started
8.7292 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.7292 	EXP 	Sound  started
8.7459 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.7460 	EXP 	Sound  started
8.7632 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.7632 	EXP 	Sound  started
8.7796 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.7796 	EXP 	Sound  started
8.7957 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.7958 	EXP 	Sound  started
8.8129 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.8129 	EXP 	Sound  started
8.8291 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.8291 	EXP 	Sound  started
8.8463 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.8463 	EXP 	Sound  started
8.8673 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.8673 	EXP 	Sound  started
8.8795 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.8795 	EXP 	Sound  started
8.8970 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.8971 	EXP 	Sound  started
8.9133 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.9133 	EXP 	Sound  started
8.9294 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.9294 	EXP 	Sound  started
8.9468 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.9469 	EXP 	Sound  started
8.9670 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.9670 	EXP 	Sound  started
8.9800 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.9800 	EXP 	Sound  started
8.9959 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
8.9960 	EXP 	Sound  started
9.0130 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.0131 	EXP 	Sound  started
9.0294 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.0294 	EXP 	Sound  started
9.0463 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.0463 	EXP 	Sound  started
9.0639 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.0639 	EXP 	Sound  started
9.0802 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.0803 	EXP 	Sound  started
9.0962 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.0962 	EXP 	Sound  started
9.1130 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.1130 	EXP 	Sound  started
9.1295 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.1295 	EXP 	Sound  started
9.1463 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.1463 	EXP 	Sound  started
9.1801 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.1801 	EXP 	Sound  started
9.1966 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.1966 	EXP 	Sound  started
9.2135 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.2135 	EXP 	Sound  started
9.2294 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.2294 	EXP 	Sound  started
9.2466 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.2466 	EXP 	Sound  started
9.2628 	EXP 	Set  sound=soundfiles/barsu_doakla_moship.wav
9.2628 	EXP 	Sound  started
