6.2982 	EXP 	Imported test.csv as conditions, 3 conditions, 3 params
6.2985 	EXP 	Created sequence: sequential, trialTypes=3, nReps=5, seed=None
6.3251 	EXP 	New trial (rep=0, index=0): {'verb': u'headbutt', 'actor': u'bandit', 'reciever': u'chef'}
6.3838 	EXP 	MovieStim: autoLog = None
6.3838 	EXP 	MovieStim: units = None
6.3838 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
6.3838 	EXP 	MovieStim: pos = None
6.3838 	EXP 	MovieStim: depth = None
6.3838 	EXP 	MovieStim: colorSpace = None
6.3838 	EXP 	MovieStim: opacity = None
6.3838 	EXP 	MovieStim: size = None
6.3838 	EXP 	MovieStim: ori = None
6.3838 	EXP 	MovieStim: autoLog = None
6.3838 	EXP 	MovieStim: units = None
6.3838 	EXP 	Set movie_2 movie=videos/bandit_chef_headbutt.avi
6.3838 	EXP 	MovieStim: pos = None
6.3838 	EXP 	MovieStim: depth = None
6.3838 	EXP 	MovieStim: colorSpace = None
6.3838 	EXP 	MovieStim: opacity = None
6.3838 	EXP 	MovieStim: size = None
6.3838 	EXP 	MovieStim: ori = None
6.3838 	EXP 	MovieStim: autoDraw = None
6.3838 	EXP 	MovieStim: autoDraw = None
11.1759 	DATA 	Keypress: right
11.3772 	EXP 	Set movie finished
11.3772 	EXP 	Set movie_2 finished
11.9633 	EXP 	Set  sound=C
11.9650 	EXP 	Set  sound=button.wav
11.9658 	EXP 	New trial (rep=0, index=1): {'verb': u'knockover', 'actor': u'bandit', 'reciever': u'hunter'}
12.0076 	EXP 	MovieStim: autoDraw = None
12.0076 	EXP 	MovieStim: autoDraw = None
12.0076 	EXP 	MovieStim: autoLog = None
12.0076 	EXP 	MovieStim: units = None
12.0076 	EXP 	Set movie movie=videos/bandit_hunter_knockover.avi
12.0076 	EXP 	MovieStim: pos = None
12.0076 	EXP 	MovieStim: depth = None
12.0076 	EXP 	MovieStim: colorSpace = None
12.0076 	EXP 	MovieStim: opacity = None
12.0076 	EXP 	MovieStim: size = None
12.0076 	EXP 	MovieStim: ori = None
12.0076 	EXP 	MovieStim: autoLog = None
12.0076 	EXP 	MovieStim: units = None
12.0076 	EXP 	Set movie_2 movie=videos/bandit_hunter_knockover.avi
12.0076 	EXP 	MovieStim: pos = None
12.0076 	EXP 	MovieStim: depth = None
12.0076 	EXP 	MovieStim: colorSpace = None
12.0076 	EXP 	MovieStim: opacity = None
12.0076 	EXP 	MovieStim: size = None
12.0076 	EXP 	MovieStim: ori = None
12.0076 	EXP 	MovieStim: autoDraw = None
12.0076 	EXP 	MovieStim: autoDraw = None
16.9973 	EXP 	Set movie finished
16.9973 	EXP 	Set movie_2 finished
16.9979 	EXP 	New trial (rep=0, index=2): {'verb': u'rock', 'actor': u'bandit', 'reciever': u'ref'}
17.0338 	EXP 	MovieStim: autoDraw = None
17.0338 	EXP 	MovieStim: autoDraw = None
17.0338 	EXP 	MovieStim: autoLog = None
17.0338 	EXP 	MovieStim: units = None
17.0338 	EXP 	Set movie movie=videos/bandit_ref_rock.avi
17.0338 	EXP 	MovieStim: pos = None
17.0338 	EXP 	MovieStim: depth = None
17.0338 	EXP 	MovieStim: colorSpace = None
17.0338 	EXP 	MovieStim: opacity = None
17.0338 	EXP 	MovieStim: size = None
17.0338 	EXP 	MovieStim: ori = None
17.0338 	EXP 	MovieStim: autoLog = None
17.0338 	EXP 	MovieStim: units = None
17.0338 	EXP 	Set movie_2 movie=videos/bandit_ref_rock.avi
17.0338 	EXP 	MovieStim: pos = None
17.0338 	EXP 	MovieStim: depth = None
17.0338 	EXP 	MovieStim: colorSpace = None
17.0338 	EXP 	MovieStim: opacity = None
17.0338 	EXP 	MovieStim: size = None
17.0338 	EXP 	MovieStim: ori = None
17.0338 	EXP 	MovieStim: autoDraw = None
17.0338 	EXP 	MovieStim: autoDraw = None
22.0328 	EXP 	Set movie finished
22.0328 	EXP 	Set movie_2 finished
22.0342 	EXP 	New trial (rep=1, index=0): {'verb': u'headbutt', 'actor': u'bandit', 'reciever': u'chef'}
22.0698 	EXP 	MovieStim: autoDraw = None
22.0698 	EXP 	MovieStim: autoDraw = None
22.0698 	EXP 	MovieStim: autoLog = None
22.0698 	EXP 	MovieStim: units = None
22.0698 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
22.0698 	EXP 	MovieStim: pos = None
22.0698 	EXP 	MovieStim: depth = None
22.0698 	EXP 	MovieStim: colorSpace = None
22.0698 	EXP 	MovieStim: opacity = None
22.0698 	EXP 	MovieStim: size = None
22.0698 	EXP 	MovieStim: ori = None
22.0698 	EXP 	MovieStim: autoLog = None
22.0698 	EXP 	MovieStim: units = None
22.0698 	EXP 	Set movie_2 movie=videos/bandit_chef_headbutt.avi
22.0698 	EXP 	MovieStim: pos = None
22.0698 	EXP 	MovieStim: depth = None
22.0698 	EXP 	MovieStim: colorSpace = None
22.0698 	EXP 	MovieStim: opacity = None
22.0698 	EXP 	MovieStim: size = None
22.0698 	EXP 	MovieStim: ori = None
22.0698 	EXP 	MovieStim: autoDraw = None
22.0698 	EXP 	MovieStim: autoDraw = None
26.8604 	DATA 	Keypress: right
27.0461 	DATA 	Keypress: left
27.0615 	EXP 	Set movie finished
27.0615 	EXP 	Set movie_2 finished
27.0627 	EXP 	Set  sound=bad.wav
27.0634 	EXP 	Set  sound=button.wav
27.0639 	EXP 	New trial (rep=1, index=1): {'verb': u'knockover', 'actor': u'bandit', 'reciever': u'hunter'}
27.0938 	EXP 	MovieStim: autoDraw = None
27.0938 	EXP 	MovieStim: autoDraw = None
27.0938 	EXP 	MovieStim: autoLog = None
27.0938 	EXP 	MovieStim: units = None
27.0938 	EXP 	Set movie movie=videos/bandit_hunter_knockover.avi
27.0938 	EXP 	MovieStim: pos = None
27.0938 	EXP 	MovieStim: depth = None
27.0938 	EXP 	MovieStim: colorSpace = None
27.0938 	EXP 	MovieStim: opacity = None
27.0938 	EXP 	MovieStim: size = None
27.0938 	EXP 	MovieStim: ori = None
27.0938 	EXP 	MovieStim: autoLog = None
27.0938 	EXP 	MovieStim: units = None
27.0938 	EXP 	Set movie_2 movie=videos/bandit_hunter_knockover.avi
27.0938 	EXP 	MovieStim: pos = None
27.0938 	EXP 	MovieStim: depth = None
27.0938 	EXP 	MovieStim: colorSpace = None
27.0938 	EXP 	MovieStim: opacity = None
27.0938 	EXP 	MovieStim: size = None
27.0938 	EXP 	MovieStim: ori = None
27.0938 	EXP 	MovieStim: autoDraw = None
27.0938 	EXP 	MovieStim: autoDraw = None
32.0906 	EXP 	Set movie finished
32.0906 	EXP 	Set movie_2 finished
32.0912 	EXP 	New trial (rep=1, index=2): {'verb': u'rock', 'actor': u'bandit', 'reciever': u'ref'}
32.1265 	EXP 	MovieStim: autoDraw = None
32.1265 	EXP 	MovieStim: autoDraw = None
32.1265 	EXP 	MovieStim: autoLog = None
32.1265 	EXP 	MovieStim: units = None
32.1265 	EXP 	Set movie movie=videos/bandit_ref_rock.avi
32.1265 	EXP 	MovieStim: pos = None
32.1265 	EXP 	MovieStim: depth = None
32.1265 	EXP 	MovieStim: colorSpace = None
32.1265 	EXP 	MovieStim: opacity = None
32.1265 	EXP 	MovieStim: size = None
32.1265 	EXP 	MovieStim: ori = None
32.1265 	EXP 	MovieStim: autoLog = None
32.1265 	EXP 	MovieStim: units = None
32.1265 	EXP 	Set movie_2 movie=videos/bandit_ref_rock.avi
32.1265 	EXP 	MovieStim: pos = None
32.1265 	EXP 	MovieStim: depth = None
32.1265 	EXP 	MovieStim: colorSpace = None
32.1265 	EXP 	MovieStim: opacity = None
32.1265 	EXP 	MovieStim: size = None
32.1265 	EXP 	MovieStim: ori = None
32.1265 	EXP 	MovieStim: autoDraw = None
32.1265 	EXP 	MovieStim: autoDraw = None
37.1130 	EXP 	Set movie finished
37.1130 	EXP 	Set movie_2 finished
37.1135 	EXP 	New trial (rep=2, index=0): {'verb': u'headbutt', 'actor': u'bandit', 'reciever': u'chef'}
37.1429 	EXP 	MovieStim: autoDraw = None
37.1429 	EXP 	MovieStim: autoDraw = None
37.1429 	EXP 	MovieStim: autoLog = None
37.1429 	EXP 	MovieStim: units = None
37.1429 	EXP 	Set movie movie=videos/bandit_chef_headbutt.avi
37.1429 	EXP 	MovieStim: pos = None
37.1429 	EXP 	MovieStim: depth = None
37.1429 	EXP 	MovieStim: colorSpace = None
37.1429 	EXP 	MovieStim: opacity = None
37.1429 	EXP 	MovieStim: size = None
37.1429 	EXP 	MovieStim: ori = None
